water_object_name,organization_name,location_wastewater_locality,location_wastewater_subject,water_object_type
"""Ик (Большой Ик)""","""Общество с ограниченной ответственностью «Уруссу-Водоканал»""","""н.п. Байлярово""","""Республика Татарстан""",Река
Пахра,"""Муниципальное унитарное предприятие городского округа Домодедово «Домодедовский водоканал»""","""г.о. Домодедово, д. Чурилково""","""Московская область""",Река
Сура,"""Общество с ограниченной ответственностью «Горводоканал»""","""г. Пенза""","""Пензенская область""",Река
"""Куйбышевское вдхр.""","""Акционерное общество «ЗВКС»""","""г. Зеленодольск""","""Республика Татарстан""",Водохранилище
"""Майнское вдхр.""","""Общество с ограниченной ответственностью «Саяногорские коммунальные системы» (ООО «СКС»)""","""р.п. Черемушки""","""Республика Хакасия""",Водохранилище
Подкумок,"""Филиал государственного унитарного предприятия Ставропольского края «Ставрополькрайводоканал»-«Кавминводоканал» производственно-техническое подразделение Кавминводские очистные сооружения канализации""","""г. Пятигорск""","""Ставропольский край""",Река
"""вдхр Волгоградское""","""Общество с ограниченной ответственностью «Концессии водоснабжения-Саратов»""","""Город Саратов""","""Саратовская область""",Водохранилище
"""Безымянная бывшая протока (бассейн р.Енисей)""","""Общество с ограниченной ответственностью «Красноярский жилищно-коммунальный комплекс»""","""с. Березовка""","""Красноярский край""",Река
ЕНИСЕЙ,"""Общество с ограниченной ответственностью «Красноярский жилищно-коммунальный комплекс»""","""г. Красноярск""","""Красноярский край""",Река
"""Воткинское водохранилище (р. Кама)""","""ООО """"НОВОГОР-Прикамье""""""","""Пермский муниципальный район""","""Пермский край""",Водохранилище
Обь,"""Общество с ограниченной ответственностью «Барнаульский Водоканал»""","""г. Барнаул""","""Алтайский край""",Река
Плесенка,"""Акционерное общество «Мосводоканал»""","""поселение Десеновское""",Москва,Река
"""Авачинская губа Тихого океана""","""Краевое государственное унитарное предприятие «Камчатский водоканал» (КГУП «Камчатский водоканал»)""","""г. Петропавловск-Камчатский""","""Камчатский край""",Губа
ТОМЬ,"""Общество с ограниченной ответственностью «Водоканал»""","""г. Новокузнецк""","""Кемеровская область - Кузбасс""",Река
"""Невская губа""","""Государственное унитарное предприятие «Водоканал Санкт-Петербурга»""","""г. Санкт-Петербург""",Санкт-Петербург,Губа
ИЖОРА,"""Государственное унитарное предприятие «Водоканал Санкт-Петербурга» (ГУП «Водоканал Санкт-Петербурга»)""","""г. Колпино""",Санкт-Петербург,Река
Акташ,"""Открытое акционерное общество «Горводоканал»""","""с.Покровское Хасавюртовского района""","""Республика Дагестан""",Река
"""Читинка (Чита)""","""Акционерное общество «Производственное управление водоснабжения и водоотведения города Читы»""","""г. Чита""","""Забайкальский край""",Река
"""Безымянный (приток реки Рожая)""","""Муниципальное унитарное предприятие городского округа Домодедово «Домодедовский водоканал»""","""г.о. Домодедово, д. Судаково""","""Московская область""",Ручей
Ликова,"""Акционерное общество «Мосводоканал»""","""поселение Московский""",Москва,Река
"""Невская губа""","""Государственное унитарное предприятие «Водоканал Санкт-Петербурга»""","""г. Санкт-Петербург""",Санкт-Петербург,Губа
Кума,"""Производственно-техническое подразделение Минераловодское филиала ГУП СК «Ставрополькрайводоканал»-«Южный»""","""с. Прикумское Минераловодского района""","""Ставропольский край""",Река
Рассудовка,"""Акционерное общество «Мосводоканал»""","""поселение Новофедоровское""",Москва,Река
Мурат,"""Акционерное общество «Альметьевск-Водоканал»""","""г. Альметьевск""","""Республика Татарстан""",Река
Кума,"""Производственно-техническое подразделение Минераловодское филиала ГУП СК «Ставрополькрайводоканал»-«Южный»""","""с. Побегайловка Минераловодского района""","""Ставропольский край""",Река
"""вдхр Горьковское""","""Публичное акционерное общество «Автодизель» (Ярославский моторный завод)""","""г. Ярославль""","""Ярославская область""",Водохранилище
Ока,"""Муниципальное унитарное предприятие «Водоканал»""","""г. Муром""","""Владимирская область""",Река
Цна,"""Акционерное общество """"Тамбовские коммунальные системы""""""","""г. Тамбов""","""Тамбовская область""",Река
Уводь,"""Акционерное общество «Водоканал»""",д.Богданиха,"""Ивановская область""",Река
"""вдхр Рыбинское""","""Государственное предприятие Ярославской области «Северный водоканал»""","""п. Судоверфь Рыбинского муниципального района""","""Ярославская область""",Водохранилище
"""Черное море""","""ГУП РК «Вода Крыма»""","""г. Алушта""","""Республика Крым""",Море
Б.САТКА,"""Акционерное общество «Энергосистемы»""","""г. Сатка""","""Челябинская область""",Река
Протва,"""Муниципальное предприятие г. Обнинска «Водоканал»""","""г. Обнинск""","""Калужская область""",Река
