water_management_name,quotas_subject
"""Ока от г. Серпухов до г. Кашира""","""Московская область"""
Болва,"""Калужская область"""
Молога,"""Вологодская область"""
"""Чуна (Уда)""","""Иркутская область"""
"""Сунжа от истока до г. Грозный""","""Чеченская Республика"""
Хета,"""Красноярский край"""
Омолон,"""Магаданская область"""
Савала,"""Тамбовская область"""
"""Дон от г. Лиски до г. Павловск без р.Битюг""","""Воронежская область"""
"""Тобол от впадения р.Исеть до устья без рр. Исеть, Тура, Тавда""","""Тюменская область"""
"""Ока от г. Белев до г. Калуга без рр.Упа и Угра""","""Тульская область"""
"""Витим от в/п с. Спицино до г. Бодайбо""","""Республика Бурятия"""
"""Малый Зеленчук""","""Карачаево-Черкесская Республика"""
"""Бассейн оз. Кучукского""","""Алтайский край"""
"""Лаба от истока до впадения р.Чамлык""","""Республика Адыгея"""
"""Вятка от истока до г.Киров без р.Чепца""","""Республика Коми"""
"""Большой Зеленчук""","""Ставропольский край"""
"""Волга от г.Кострома до Горьковского г/у (Горьковское в-ще) без р.Унжа""","""Нижегородская область"""
Чепца,"""Кировская область"""
"""Москва от г. Звенигород до Рублевского г/у без р.Истра (от истока до Истринского г/у)""",Москва
"""Москва от в/п Заозерье до г. Коломна""","""Московская область"""
"""Истра от истока до Истринского г/у""","""Московская область"""
Преголя,"""Калининградская область"""
"""Кума от впадения р. Мокрая Буйвола до устья""","""Республика Калмыкия"""
Чир,"""Ростовская область"""
"""Ока от г. Кашира до г. Коломна без р.Москва""","""Тульская область"""
Амга,"""Республика Саха (Якутия)"""
Хилок,"""Республика Бурятия"""
"""Большой Ик""","""Оренбургская область"""
"""Терешка от истока до устья""","""Ульяновская область"""
"""Малка от истока до Кура-Марьинского канала""","""Кабардино-Балкарская Республика"""
Ик,"""Республика Башкортостан"""
Тасеева,"""Красноярский край"""
Бикин,"""Хабаровский край"""
Хилок,"""Забайкальский край"""
Матыра,"""Тамбовская область"""
"""Курильские острова""","""Сахалинская область"""
"""Чулым от г. Ачинск до в/п с.Зырянское""","""Томская область"""
"""Печора от истока до в/п п.Шердино""","""Республика Коми"""
"""Ангара от Усть-Илимского г/у до Богучанского г/у""","""Красноярский край"""
"""Великая от истока до в/п д. Гуйтово""","""Псковская область"""
"""Дельта р. Терек""","""Чеченская Республика"""
"""Чулым от истока до г. Ачинск""","""Республика Хакасия"""
Учур,"""Республика Саха (Якутия)"""
Вах,"""Ханты-Мансийский автономный округ - Югра"""
"""Сура от устья р.Алатырь до устья""","""Нижегородская область"""
"""Исеть от истока до г. Екатеринбург""","""Свердловская область"""
"""Реки бассейна Белого моря от западной границы бассейна р. Иоканга (мыс Святой Нос) до восточной границы бассейна р. Нива без р. Поной""","""Мурманская область"""
"""Ковда от истока до Кумского г/у, вкл. оз. Пя-озеро, Топ-озеро""","""Республика Карелия"""
"""Реки бассейна Белого моря от западной границы бассейна р. Нива до северной границы бассейна р. Кемь без р. Ковда""","""Республика Карелия"""
"""Реки и озера бассейна Финского залива от границы РФ с Финляндией до северной границы бассейна р. Нева""",Санкт-Петербург
"""Бассейн оз. Ладожское без рр. Волхов, Свирь и Сясь""","""Ленинградская область"""
"""Реки и озера бассейна Финского залива от границы РФ с Финляндией до северной границы бассейна р. Нева""","""Ленинградская область"""
"""Реки бассейна Белого моря от мыса Воронов до мыса Канин Нос (без р. Мезень)""","""Архангельская область"""
"""Мезень от истока до в/п д. Малонисогорская""","""Республика Коми"""
"""Ловать и Пола""","""Новгородская область"""
"""Мста без р. Шлина от истока до Вышневолоцкого г/у""","""Тверская область"""
"""Мста без р. Шлина от истока до Вышневолоцкого г/у""","""Новгородская область"""
"""Шлина от истока до Вышневолоцкого г/у""","""Тверская область"""
"""Свирь от Нижнесвирского г/у до устья""","""Ленинградская область"""
"""Бассейн Онежского озера без рр. Шуя, Суна, Водла и Вытегра""","""Республика Карелия"""
